"texto","area"
"TERMO DE RATIFICAÇÃO DE EXTRATO DE REGISTRO DE PREÇOS. Processo Administrativo nº 2023/00456. Reconheço e ratifico a contratação de ORGANIZAÇÃO SOCIAL ESPERANÇA, inscrita no CNPJ sob nº 76.000.000/0001-00. Objeto: Fornecimento de móveis de escritório para manutenção das atividades administrativas contínuas. Valor Estimado: R$ 89.000,00, com base na art. 25, caput, da Lei 8.666/93.","Gestão Administrativa"
"INEXIGIBILIDADE DE LICITAÇÃO Nº 386/2024 - PROCESSO: PM-882/2023. CONTRATANTE: SECRETARIA MUNICIPAL DE INFRAESTRUTURA. CONTRATADA: DISTRIBUIDORA DE MEDICAMENTOS BOA SAÚDE. OBJETO DO CONTRATO: Registro de preços para serviços serviços de publicidade e propaganda institucional para os servidores municipais. VALOR: R$ 15.400,00. PRAZO DE VIGÊNCIA: 12 (doze) meses a partir da assinatura.","Gestão Administrativa"
"EXTRATO DE CONTRATO. PROCESSO INSTRUTIVO: 112233/2023. PARTES: FUNDO MUNICIPAL DE EDUCAÇÃO e ORGANIZAÇÃO SOCIAL ESPERANÇA. OBJETO: Aquisição de limpeza e conservação para manutenção das atividades administrativas contínuas. VALOR GLOBAL: R$ 210.000,00. FUNDAMENTO LEGAL: art. 24, inciso II, da Lei nº 8.666/93. ASSINATURA: 20/07/2026.","Gestão Administrativa"
"EXTRATO DE TERMO ADITIVO. PROCESSO INSTRUTIVO: PMSC-098/24. PARTES: SECRETARIA MUNICIPAL DE INFRAESTRUTURA e VIGILÂNCIA E SEGURANÇA PATRIMONIAL LTDA. OBJETO: Prestação de serviços papel A4 e suprimentos de impressão para o centro administrativo municipal. VALOR GLOBAL: R$ 15.400,00. FUNDAMENTO LEGAL: art. 25, caput, da Lei 8.666/93. ASSINATURA: 01/08/2026.","Gestão Administrativa"
"MUNICÍPIO - SECRETARIA DE ADMINISTRAÇÃO. EXTRATO DE REGISTRO DE PREÇOS. Ref. Proc. PMSC-098/24. PARTES: MUNICÍPIO DE SÃO JOSÉ DOS CAMPOS X SERVIÇOS DE LIMPEZA BRASIL S/A. OBJETO: O presente instrumento tem por objeto a Fornecimento de frota de veículos para os órgãos da administração direta, conforme especificações do edital. DOTAÇÃO ORÇAMENTÁRIA: 10.302.0001.2001.33903900. VALOR: R$ 210.000,00.","Gestão Administrativa"
"MUNICÍPIO - SECRETARIA DE ADMINISTRAÇÃO. AVISO DE LICITAÇÃO. Ref. Proc. 0012.0034/2024. PARTES: MUNICÍPIO DE SÃO JOSÉ DOS CAMPOS X DISTRIBUIDORA DE MEDICAMENTOS BOA SAÚDE. OBJETO: O presente instrumento tem por objeto a Aquisição de serviços de publicidade e propaganda institucional visando o regular funcionamento dos setores, conforme especificações do edital. DOTAÇÃO ORÇAMENTÁRIA: 10.302.0001.2001.33903900. VALOR: R$ 15.400,00.","Gestão Administrativa"
"TERMO DE RATIFICAÇÃO DE EXTRATO DE CONTRATO. Processo Administrativo nº 2024/09812. Reconheço e ratifico a contratação de SERVIÇOS DE LIMPEZA BRASIL S/A, inscrita no CNPJ sob nº 26.000.000/0001-00. Objeto: Prestação de serviços serviços de publicidade e propaganda institucional para as dependências do paço municipal. Valor Estimado: R$ 89.000,00, com base na art. 24, inciso II, da Lei nº 8.666/93.","Gestão Administrativa"
"AVISO DE LICITAÇÃO Nº 635/2024 - PROCESSO: 112233/2023. CONTRATANTE: FUNDO MUNICIPAL DE SAÚDE. CONTRATADA: TECNOLOGIA INTEGRADA LTDA. OBJETO DO CONTRATO: Contratação de empresa para serviços de auditoria contábil para os órgãos da administração direta. VALOR: R$ 210.000,00. PRAZO DE VIGÊNCIA: 12 (doze) meses a partir da assinatura.","Gestão Administrativa"
"EXTRATO DE CONTRATO. PROCESSO INSTRUTIVO: 2023/00456. PARTES: MUNICÍPIO DE SÃO JOSÉ DOS CAMPOS e VIGILÂNCIA E SEGURANÇA PATRIMONIAL LTDA. OBJETO: Registro de preços para serviços papel A4 e suprimentos de impressão para os servidores municipais. VALOR GLOBAL: R$ 1.250.000,00. FUNDAMENTO LEGAL: Lei 14.133/2021. ASSINATURA: 17/07/2026.","Gestão Administrativa"
"TOMADA DE PREÇOS. PROCESSO INSTRUTIVO: 112233/2023. PARTES: FUNDO MUNICIPAL DE EDUCAÇÃO e DISTRIBUIDORA DE MEDICAMENTOS BOA SAÚDE. OBJETO: Locação de serviços de auditoria contábil para os servidores municipais. VALOR GLOBAL: R$ 89.000,00. FUNDAMENTO LEGAL: art. 25, caput, da Lei 8.666/93. ASSINATURA: 31/07/2026.","Gestão Administrativa"
"EXTRATO DE CONTRATO Nº 723/2024 - PROCESSO: 112233/2023. CONTRATANTE: FUNDO MUNICIPAL DE EDUCAÇÃO. CONTRATADA: COMERCIAL DE ALIMENTOS UNIÃO EIRELI. OBJETO DO CONTRATO: Locação de serviços de copeiragem visando o regular funcionamento dos setores. VALOR: R$ 45.900,00. PRAZO DE VIGÊNCIA: 12 (doze) meses a partir da assinatura.","Gestão Administrativa"
"TERMO DE RATIFICAÇÃO DE TOMADA DE PREÇOS. Processo Administrativo nº 2024/09812. Reconheço e ratifico a contratação de SERVIÇOS DE LIMPEZA BRASIL S/A, inscrita no CNPJ sob nº 25.000.000/0001-00. Objeto: Aquisição de fornecimento de vales-alimentação atendendo a Secretaria de Administração. Valor Estimado: R$ 15.400,00, com base na art. 75, inciso II, da Lei nº 14.133/21.","Gestão Administrativa"
"TERMO DE RATIFICAÇÃO DE TOMADA DE PREÇOS. Processo Administrativo nº 112233/2023. Reconheço e ratifico a contratação de TECNOLOGIA INTEGRADA LTDA, inscrita no CNPJ sob nº 76.000.000/0001-00. Objeto: Fornecimento de serviços de publicidade e propaganda institucional para as dependências do paço municipal. Valor Estimado: R$ 5.600.000,00, com base na art. 25, caput, da Lei 8.666/93.","Gestão Administrativa"
"TERMO DE RATIFICAÇÃO DE AVISO DE LICITAÇÃO. Processo Administrativo nº 2023/00456. Reconheço e ratifico a contratação de VIGILÂNCIA E SEGURANÇA PATRIMONIAL LTDA, inscrita no CNPJ sob nº 25.000.000/0001-00. Objeto: Fornecimento de serviços de auditoria contábil para o centro administrativo municipal. Valor Estimado: R$ 5.600.000,00, com base na Lei 14.133/2021.","Gestão Administrativa"
"MUNICÍPIO - SECRETARIA DE ADMINISTRAÇÃO. TOMADA DE PREÇOS. Ref. Proc. 2024/09812. PARTES: FUNDO MUNICIPAL DE SAÚDE X COMERCIAL DE ALIMENTOS UNIÃO EIRELI. OBJETO: O presente instrumento tem por objeto a Prestação de serviços materiais de expediente para manutenção das atividades administrativas contínuas, conforme especificações do edital. DOTAÇÃO ORÇAMENTÁRIA: 10.302.0001.2001.33903900. VALOR: R$ 5.600.000,00.","Gestão Administrativa"
"TERMO DE RATIFICAÇÃO DE AVISO DE LICITAÇÃO. Processo Administrativo nº PMSC-098/24. Reconheço e ratifico a contratação de CONSTRUTORA ALPHA LTDA, inscrita no CNPJ sob nº 32.000.000/0001-00. Objeto: Fornecimento de serviços de copeiragem para os servidores municipais. Valor Estimado: R$ 345.600,00, com base na art. 25, caput, da Lei 8.666/93.","Gestão Administrativa"
"MUNICÍPIO - SECRETARIA DE ADMINISTRAÇÃO. INEXIGIBILIDADE DE LICITAÇÃO. Ref. Proc. 2024/09812. PARTES: PREFEITURA MUNICIPAL X DISTRIBUIDORA DE MEDICAMENTOS BOA SAÚDE. OBJETO: O presente instrumento tem por objeto a Fornecimento de frota de veículos para os servidores municipais, conforme especificações do edital. DOTAÇÃO ORÇAMENTÁRIA: 10.302.0001.2001.33903900. VALOR: R$ 210.000,00.","Gestão Administrativa"
"TERMO DE RATIFICAÇÃO DE AVISO DE LICITAÇÃO. Processo Administrativo nº PMSC-098/24. Reconheço e ratifico a contratação de SERVIÇOS DE LIMPEZA BRASIL S/A, inscrita no CNPJ sob nº 74.000.000/0001-00. Objeto: Fornecimento de limpeza e conservação atendendo a Secretaria de Administração. Valor Estimado: R$ 210.000,00, com base na art. 24, inciso II, da Lei nº 8.666/93.","Gestão Administrativa"
"TERMO DE RATIFICAÇÃO DE AVISO DE LICITAÇÃO. Processo Administrativo nº PM-882/2023. Reconheço e ratifico a contratação de DISTRIBUIDORA DE MEDICAMENTOS BOA SAÚDE, inscrita no CNPJ sob nº 38.000.000/0001-00. Objeto: Prestação de serviços fornecimento de vales-alimentação para o centro administrativo municipal. Valor Estimado: R$ 1.250.000,00, com base na art. 75, inciso II, da Lei nº 14.133/21.","Gestão Administrativa"
"TERMO DE RATIFICAÇÃO DE INEXIGIBILIDADE DE LICITAÇÃO. Processo Administrativo nº 112233/2023. Reconheço e ratifico a contratação de ORGANIZAÇÃO SOCIAL ESPERANÇA, inscrita no CNPJ sob nº 47.000.000/0001-00. Objeto: Locação de frota de veículos para os órgãos da administração direta. Valor Estimado: R$ 15.400,00, com base na art. 24, inciso II, da Lei nº 8.666/93.","Gestão Administrativa"
"TERMO DE RATIFICAÇÃO DE EXTRATO DE CONTRATO. Processo Administrativo nº 112233/2023. Reconheço e ratifico a contratação de SERVIÇOS DE LIMPEZA BRASIL S/A, inscrita no CNPJ sob nº 81.000.000/0001-00. Objeto: Fornecimento de segurança patrimonial e vigilância visando o regular funcionamento dos setores. Valor Estimado: R$ 45.900,00, com base na art. 25, caput, da Lei 8.666/93.","Gestão Administrativa"
"TOMADA DE PREÇOS Nº 547/2024 - PROCESSO: 2024/09812. CONTRATANTE: FUNDO MUNICIPAL DE SAÚDE. CONTRATADA: COMERCIAL DE ALIMENTOS UNIÃO EIRELI. OBJETO DO CONTRATO: Registro de preços para serviços materiais de expediente para os órgãos da administração direta. VALOR: R$ 210.000,00. PRAZO DE VIGÊNCIA: 12 (doze) meses a partir da assinatura.","Gestão Administrativa"
"TERMO DE RATIFICAÇÃO DE EXTRATO DE TERMO ADITIVO. Processo Administrativo nº PM-882/2023. Reconheço e ratifico a contratação de VIGILÂNCIA E SEGURANÇA PATRIMONIAL LTDA, inscrita no CNPJ sob nº 14.000.000/0001-00. Objeto: Prestação de serviços limpeza e conservação atendendo a Secretaria de Administração. Valor Estimado: R$ 345.600,00, com base na art. 75, inciso II, da Lei nº 14.133/21.","Gestão Administrativa"
"EXTRATO DE REGISTRO DE PREÇOS Nº 216/2024 - PROCESSO: PM-882/2023. CONTRATANTE: SECRETARIA MUNICIPAL DE INFRAESTRUTURA. CONTRATADA: SERVIÇOS DE LIMPEZA BRASIL S/A. OBJETO DO CONTRATO: Fornecimento de serviços de auditoria contábil atendendo a Secretaria de Administração. VALOR: R$ 15.400,00. PRAZO DE VIGÊNCIA: 12 (doze) meses a partir da assinatura.","Gestão Administrativa"
"EXTRATO DE CONTRATO. PROCESSO INSTRUTIVO: 2023/00456. PARTES: MUNICÍPIO DE SÃO JOSÉ DOS CAMPOS e VIGILÂNCIA E SEGURANÇA PATRIMONIAL LTDA. OBJETO: Prestação de serviços serviços de auditoria contábil para os servidores municipais. VALOR GLOBAL: R$ 45.900,00. FUNDAMENTO LEGAL: Lei 14.133/2021. ASSINATURA: 11/07/2026.","Gestão Administrativa"
"MUNICÍPIO - SECRETARIA DE ADMINISTRAÇÃO. AVISO DE LICITAÇÃO. Ref. Proc. 2024/09812. PARTES: SECRETARIA MUNICIPAL DE INFRAESTRUTURA X CONSTRUTORA ALPHA LTDA. OBJETO: O presente instrumento tem por objeto a Aquisição de serviços de publicidade e propaganda institucional para os servidores municipais, conforme especificações do edital. DOTAÇÃO ORÇAMENTÁRIA: 10.302.0001.2001.33903900. VALOR: R$ 210.000,00.","Gestão Administrativa"
"EXTRATO DE CONTRATO. PROCESSO INSTRUTIVO: 2024/09812. PARTES: MUNICÍPIO DE SÃO JOSÉ DOS CAMPOS e CONSTRUTORA ALPHA LTDA. OBJETO: Prestação de serviços materiais de expediente para os servidores municipais. VALOR GLOBAL: R$ 89.000,00. FUNDAMENTO LEGAL: art. 75, inciso II, da Lei nº 14.133/21. ASSINATURA: 23/07/2026.","Gestão Administrativa"
"INEXIGIBILIDADE DE LICITAÇÃO Nº 640/2024 - PROCESSO: 2023/00456. CONTRATANTE: PREFEITURA MUNICIPAL. CONTRATADA: CONSTRUTORA ALPHA LTDA. OBJETO DO CONTRATO: Locação de frota de veículos para manutenção das atividades administrativas contínuas. VALOR: R$ 210.000,00. PRAZO DE VIGÊNCIA: 12 (doze) meses a partir da assinatura.","Gestão Administrativa"
"INEXIGIBILIDADE DE LICITAÇÃO. PROCESSO INSTRUTIVO: 2024/09812. PARTES: FUNDO MUNICIPAL DE EDUCAÇÃO e DISTRIBUIDORA DE MEDICAMENTOS BOA SAÚDE. OBJETO: Aquisição de limpeza e conservação atendendo a Secretaria de Administração. VALOR GLOBAL: R$ 1.250.000,00. FUNDAMENTO LEGAL: art. 25, caput, da Lei 8.666/93. ASSINATURA: 17/06/2026.","Gestão Administrativa"
"EXTRATO DE TERMO ADITIVO Nº 446/2024 - PROCESSO: 0012.0034/2024. CONTRATANTE: MUNICÍPIO DE SÃO JOSÉ DOS CAMPOS. CONTRATADA: CONSTRUTORA ALPHA LTDA. OBJETO DO CONTRATO: Prestação de serviços frota de veículos para manutenção das atividades administrativas contínuas. VALOR: R$ 5.600.000,00. PRAZO DE VIGÊNCIA: 12 (doze) meses a partir da assinatura.","Gestão Administrativa"
"AVISO DE LICITAÇÃO. PROCESSO INSTRUTIVO: 2023/00456. PARTES: SECRETARIA MUNICIPAL DE INFRAESTRUTURA e VIGILÂNCIA E SEGURANÇA PATRIMONIAL LTDA. OBJETO: Locação de fornecimento de vales-alimentação atendendo a Secretaria de Administração. VALOR GLOBAL: R$ 1.250.000,00. FUNDAMENTO LEGAL: art. 25, caput, da Lei 8.666/93. ASSINATURA: 07/07/2026.","Gestão Administrativa"
"TERMO DE RATIFICAÇÃO DE INEXIGIBILIDADE DE LICITAÇÃO. Processo Administrativo nº 112233/2023. Reconheço e ratifico a contratação de VIGILÂNCIA E SEGURANÇA PATRIMONIAL LTDA, inscrita no CNPJ sob nº 45.000.000/0001-00. Objeto: Fornecimento de papel A4 e suprimentos de impressão para as dependências do paço municipal. Valor Estimado: R$ 1.250.000,00, com base na art. 75, inciso II, da Lei nº 14.133/21.","Gestão Administrativa"
"MUNICÍPIO - SECRETARIA DE ADMINISTRAÇÃO. EXTRATO DE TERMO ADITIVO. Ref. Proc. PM-882/2023. PARTES: PREFEITURA MUNICIPAL X SERVIÇOS DE LIMPEZA BRASIL S/A. OBJETO: O presente instrumento tem por objeto a Contratação de empresa para serviços de copeiragem para as dependências do paço municipal, conforme especificações do edital. DOTAÇÃO ORÇAMENTÁRIA: 10.302.0001.2001.33903900. VALOR: R$ 15.400,00.","Gestão Administrativa"
"TERMO DE RATIFICAÇÃO DE TOMADA DE PREÇOS. Processo Administrativo nº 0012.0034/2024. Reconheço e ratifico a contratação de SERVIÇOS DE LIMPEZA BRASIL S/A, inscrita no CNPJ sob nº 11.000.000/0001-00. Objeto: Registro de preços para serviços limpeza e conservação para as dependências do paço municipal. Valor Estimado: R$ 1.250.000,00, com base na art. 75, inciso II, da Lei nº 14.133/21.","Gestão Administrativa"
"MUNICÍPIO - SECRETARIA DE ADMINISTRAÇÃO. EXTRATO DE CONTRATO. Ref. Proc. PM-882/2023. PARTES: FUNDO MUNICIPAL DE SAÚDE X DISTRIBUIDORA DE MEDICAMENTOS BOA SAÚDE. OBJETO: O presente instrumento tem por objeto a Locação de serviços de auditoria contábil para todos os departamentos da prefeitura, conforme especificações do edital. DOTAÇÃO ORÇAMENTÁRIA: 10.302.0001.2001.33903900. VALOR: R$ 345.600,00.","Gestão Administrativa"
"MUNICÍPIO - SECRETARIA DE ADMINISTRAÇÃO. INEXIGIBILIDADE DE LICITAÇÃO. Ref. Proc. 2024/09812. PARTES: SECRETARIA MUNICIPAL DE INFRAESTRUTURA X COMERCIAL DE ALIMENTOS UNIÃO EIRELI. OBJETO: O presente instrumento tem por objeto a Locação de serviços de copeiragem para o centro administrativo municipal, conforme especificações do edital. DOTAÇÃO ORÇAMENTÁRIA: 10.302.0001.2001.33903900. VALOR: R$ 1.250.000,00.","Gestão Administrativa"
"EXTRATO DE TERMO ADITIVO Nº 844/2024 - PROCESSO: 2024/09812. CONTRATANTE: MUNICÍPIO DE SÃO JOSÉ DOS CAMPOS. CONTRATADA: COMERCIAL DE ALIMENTOS UNIÃO EIRELI. OBJETO DO CONTRATO: Registro de preços para serviços serviços de copeiragem para todos os departamentos da prefeitura. VALOR: R$ 45.900,00. PRAZO DE VIGÊNCIA: 12 (doze) meses a partir da assinatura.","Gestão Administrativa"
"EXTRATO DE TERMO ADITIVO. PROCESSO INSTRUTIVO: PM-882/2023. PARTES: MUNICÍPIO DE SÃO JOSÉ DOS CAMPOS e DISTRIBUIDORA DE MEDICAMENTOS BOA SAÚDE. OBJETO: Prestação de serviços segurança patrimonial e vigilância para todos os departamentos da prefeitura. VALOR GLOBAL: R$ 345.600,00. FUNDAMENTO LEGAL: art. 25, caput, da Lei 8.666/93. ASSINATURA: 25/05/2026.","Gestão Administrativa"
"MUNICÍPIO - SECRETARIA DE ADMINISTRAÇÃO. DISPENSA DE LICITAÇÃO. Ref. Proc. 2024/09812. PARTES: MUNICÍPIO DE SÃO JOSÉ DOS CAMPOS X VIGILÂNCIA E SEGURANÇA PATRIMONIAL LTDA. OBJETO: O presente instrumento tem por objeto a Aquisição de materiais de expediente para todos os departamentos da prefeitura, conforme especificações do edital. DOTAÇÃO ORÇAMENTÁRIA: 10.302.0001.2001.33903900. VALOR: R$ 45.900,00.","Gestão Administrativa"
"MUNICÍPIO - SECRETARIA DE ADMINISTRAÇÃO. EXTRATO DE TERMO ADITIVO. Ref. Proc. PMSC-098/24. PARTES: MUNICÍPIO DE SÃO JOSÉ DOS CAMPOS X CONSTRUTORA ALPHA LTDA. OBJETO: O presente instrumento tem por objeto a Registro de preços para serviços fornecimento de vales-alimentação para os servidores municipais, conforme especificações do edital. DOTAÇÃO ORÇAMENTÁRIA: 10.302.0001.2001.33903900. VALOR: R$ 89.000,00.","Gestão Administrativa"
"EXTRATO DE TERMO ADITIVO. PROCESSO INSTRUTIVO: PM-882/2023. PARTES: MUNICÍPIO DE SÃO JOSÉ DOS CAMPOS e TECNOLOGIA INTEGRADA LTDA. OBJETO: Fornecimento de segurança patrimonial e vigilância para todos os departamentos da prefeitura. VALOR GLOBAL: R$ 345.600,00. FUNDAMENTO LEGAL: art. 25, caput, da Lei 8.666/93. ASSINATURA: 29/06/2026.","Gestão Administrativa"
"MUNICÍPIO - SECRETARIA DE ADMINISTRAÇÃO. PREGÃO ELETRÔNICO. Ref. Proc. 2024/09812. PARTES: FUNDO MUNICIPAL DE SAÚDE X CONSTRUTORA ALPHA LTDA. OBJETO: O presente instrumento tem por objeto a Fornecimento de móveis de escritório visando o regular funcionamento dos setores, conforme especificações do edital. DOTAÇÃO ORÇAMENTÁRIA: 10.302.0001.2001.33903900. VALOR: R$ 15.400,00.","Gestão Administrativa"
"TOMADA DE PREÇOS. PROCESSO INSTRUTIVO: 2023/00456. PARTES: FUNDO MUNICIPAL DE EDUCAÇÃO e ORGANIZAÇÃO SOCIAL ESPERANÇA. OBJETO: Locação de móveis de escritório para os servidores municipais. VALOR GLOBAL: R$ 5.600.000,00. FUNDAMENTO LEGAL: art. 75, inciso II, da Lei nº 14.133/21. ASSINATURA: 08/05/2026.","Gestão Administrativa"
"TERMO DE RATIFICAÇÃO DE INEXIGIBILIDADE DE LICITAÇÃO. Processo Administrativo nº 2024/09812. Reconheço e ratifico a contratação de VIGILÂNCIA E SEGURANÇA PATRIMONIAL LTDA, inscrita no CNPJ sob nº 15.000.000/0001-00. Objeto: Locação de serviços de publicidade e propaganda institucional atendendo a Secretaria de Administração. Valor Estimado: R$ 210.000,00, com base na Lei 14.133/2021.","Gestão Administrativa"
"TERMO DE RATIFICAÇÃO DE INEXIGIBILIDADE DE LICITAÇÃO. Processo Administrativo nº 112233/2023. Reconheço e ratifico a contratação de TECNOLOGIA INTEGRADA LTDA, inscrita no CNPJ sob nº 47.000.000/0001-00. Objeto: Prestação de serviços limpeza e conservação visando o regular funcionamento dos setores. Valor Estimado: R$ 15.400,00, com base na Lei 14.133/2021.","Gestão Administrativa"
"TERMO DE RATIFICAÇÃO DE TOMADA DE PREÇOS. Processo Administrativo nº PM-882/2023. Reconheço e ratifico a contratação de DISTRIBUIDORA DE MEDICAMENTOS BOA SAÚDE, inscrita no CNPJ sob nº 42.000.000/0001-00. Objeto: Aquisição de segurança patrimonial e vigilância para as dependências do paço municipal. Valor Estimado: R$ 345.600,00, com base na Lei 14.133/2021.","Gestão Administrativa"
"EXTRATO DE CONTRATO. PROCESSO INSTRUTIVO: 2023/00456. PARTES: MUNICÍPIO DE SÃO JOSÉ DOS CAMPOS e DISTRIBUIDORA DE MEDICAMENTOS BOA SAÚDE. OBJETO: Registro de preços para serviços papel A4 e suprimentos de impressão para os órgãos da administração direta. VALOR GLOBAL: R$ 89.000,00. FUNDAMENTO LEGAL: art. 25, caput, da Lei 8.666/93. ASSINATURA: 03/08/2026.","Gestão Administrativa"
"TOMADA DE PREÇOS Nº 991/2024 - PROCESSO: PMSC-098/24. CONTRATANTE: FUNDO MUNICIPAL DE SAÚDE. CONTRATADA: SERVIÇOS DE LIMPEZA BRASIL S/A. OBJETO DO CONTRATO: Aquisição de serviços de copeiragem para o centro administrativo municipal. VALOR: R$ 89.000,00. PRAZO DE VIGÊNCIA: 12 (doze) meses a partir da assinatura.","Gestão Administrativa"
"MUNICÍPIO - SECRETARIA DE ADMINISTRAÇÃO. INEXIGIBILIDADE DE LICITAÇÃO. Ref. Proc. 112233/2023. PARTES: MUNICÍPIO DE SÃO JOSÉ DOS CAMPOS X TECNOLOGIA INTEGRADA LTDA. OBJETO: O presente instrumento tem por objeto a Fornecimento de papel A4 e suprimentos de impressão atendendo a Secretaria de Administração, conforme especificações do edital. DOTAÇÃO ORÇAMENTÁRIA: 10.302.0001.2001.33903900. VALOR: R$ 210.000,00.","Gestão Administrativa"
"TERMO DE RATIFICAÇÃO DE EXTRATO DE CONTRATO. Processo Administrativo nº 2024/09812. Reconheço e ratifico a contratação de DISTRIBUIDORA DE MEDICAMENTOS BOA SAÚDE, inscrita no CNPJ sob nº 90.000.000/0001-00. Objeto: Contratação de empresa para serviços de copeiragem para todos os departamentos da prefeitura. Valor Estimado: R$ 15.400,00, com base na art. 24, inciso II, da Lei nº 8.666/93.","Gestão Administrativa"
"TERMO DE RATIFICAÇÃO DE EXTRATO DE REGISTRO DE PREÇOS. Processo Administrativo nº 0012.0034/2024. Reconheço e ratifico a contratação de TECNOLOGIA INTEGRADA LTDA, inscrita no CNPJ sob nº 92.000.000/0001-00. Objeto: Fornecimento de serviços de copeiragem para o centro administrativo municipal. Valor Estimado: R$ 1.250.000,00, com base na art. 75, inciso II, da Lei nº 14.133/21.","Gestão Administrativa"
